high_tag,low_tag,distance,high_ai,low_ai
python,android,6.501203422729988,1.5155053868933794,-0.3060339294090371
list,algorithm,3.2665063855819136,1.1652431331488442,-0.3987629610195847
string,unity-game-engine,4.185905394802289,1.0622467500568022,-0.3706545569213798
regex,wpf,4.124327437695743,0.9802304212256678,-0.4180080180530354
javascript,spring-boot,5.406186399788668,0.9711433604039796,-0.6374092543835994
dictionary,asp.net-core,3.5574523652695085,0.9067890714994792,-0.3608945357200452
pandas,kubernetes,2.9596353562240645,0.8646355847327883,-0.3049108939888829
dataframe,docker,4.089044749655587,0.8204713566166805,-0.5660096240941873
arrays,multithreading,3.8751669492550977,0.7639486316081535,-0.986497146415997
bash,.net,4.0495734791242235,0.7559093071027364,-0.5701966552086524
python-3.x,vba,2.069941561776268,0.7162969406516968,-0.3456402924748631
shell,machine-learning,3.289727412063736,0.6831617194501317,-0.2426460625359708
dart,android-studio,5.842422502258985,0.6326311000504187,-0.5617977138052218
sql,excel,2.6212756806243633,0.5878728743219979,-0.3160263050631642
numpy,react-native,2.4641964549219395,0.5798751409036456,-0.3501349399494347
for-loop,.net-core,3.924383295335089,0.5585224920647861,-0.5595052448501922
r,spring,2.7546424305708563,0.4619074058245282,-0.645884877197608
ruby,asp.net-mvc,2.0471291715213007,0.4603080231292742,-0.528370258586997
loops,database,3.7284616305294676,0.4070435815641886,-0.2595165061759353
typescript,rest,3.3585376953916186,0.401398994119196,-0.4859850437046596
flutter,amazon-web-services,7.574154461243093,0.3984571563997818,-0.4304247037345853
function,macos,4.0977104072790365,0.3977453793731797,-0.5258186019565344
go,windows,3.556456382930402,0.3788353001228974,-0.5546078527243149
json,keras,3.153933970737733,0.3716376883129775,-0.2494523117460263
scala,ajax,2.0070978573163973,0.3439712611728827,-0.7736792378103795
html,wordpress,3.648778264727348,0.3266961594923233,-0.6481104603555182
reactjs,tensorflow,4.164040733942346,0.2688228025830724,-0.2658503222944539
oracle-database,xcode,2.822548295925667,0.231485258009526,-0.5294282601927262
css,asp.net,4.119437840241125,0.2297476209187957,-0.7182458623252016
ggplot2,opencv,4.024986595103414,0.2112415808697754,-0.6557043932695598
web-scraping,azure,4.209656025487919,0.1856082512533589,-0.2501872760217949
google-sheets,visual-studio,4.773333811286408,0.1840420193675504,-0.5607426113004864
java,ios,3.5076227506649826,0.1368412137614545,-0.5277913559594533
