spec,answerability,outcome,sample,family,coef_name,estimate,std_err,t,p,nobs
main_ols_log1p_zscore_full,ai_answerability_zscore,log_questions_p1,full,ols_log1p,ai_post,-0.07126571214733093,0.04297382797163508,-1.6583515016248946,0.09724653948490845,164351
main_ols_log1p_zscore_full,ai_answerability_zscore,log_questions_p1,full,ols_log1p,ai_sub,-164524761.04210556,,,,164351
main_ols_log1p_zscore_full,ai_answerability_zscore,log_questions_p1,full,ols_log1p,post_sub,-0.5484546096473469,0.023451443502919812,-23.386816661373608,5.820671246093723e-121,164351
main_ols_log1p_zscore_full,ai_answerability_zscore,log_questions_p1,full,ols_log1p,ai_post_sub,-0.13778787940896528,0.052173313147391986,-2.6409647211728386,0.008267032728359632,164351
alt_ols_log1p_pca_full,ai_answerability_pca,log_questions_p1,full,ols_log1p,ai_post,0.015696999414882472,0.0133800490406184,1.1731645651843579,0.24072981891641665,164351
alt_ols_log1p_pca_full,ai_answerability_pca,log_questions_p1,full,ols_log1p,ai_sub,79309431.91592517,171639520457.2731,0.00046206975936913074,0.9996313216861048,164351
alt_ols_log1p_pca_full,ai_answerability_pca,log_questions_p1,full,ols_log1p,post_sub,-0.5511268104614293,0.024156083632516017,-22.815238548005713,3.2368437723782335e-115,164351
alt_ols_log1p_pca_full,ai_answerability_pca,log_questions_p1,full,ols_log1p,ai_post_sub,-0.04494603312783231,0.01970871052817859,-2.2805161739815794,0.022577092635496725,164351
alt_ols_log1p_quantile_full,ai_answerability_quantile,log_questions_p1,full,ols_log1p,ai_post,-0.06540492205195783,0.06022884589295084,-1.0859401518037854,0.27750547131088443,164351
alt_ols_log1p_quantile_full,ai_answerability_quantile,log_questions_p1,full,ols_log1p,ai_sub,996696753.8494772,1063790659611.786,0.0009369294088492997,0.9992524385994898,164351
alt_ols_log1p_quantile_full,ai_answerability_quantile,log_questions_p1,full,ols_log1p,post_sub,-0.44376995730132296,0.032272002354451185,-13.750927272106964,5.028091986030788e-43,164351
alt_ols_log1p_quantile_full,ai_answerability_quantile,log_questions_p1,full,ols_log1p,ai_post_sub,-0.209773431312073,0.07413748211351573,-2.8295192301092453,0.004661799836577176,164351
alt_ols_log1p_structural_full,ai_answerability_structural,log_questions_p1,full,ols_log1p,ai_post,-0.04489492077122991,0.04017647771467311,-1.1174429249389761,0.26380499035169835,164351
alt_ols_log1p_structural_full,ai_answerability_structural,log_questions_p1,full,ols_log1p,ai_sub,-1071995461.9103249,734528137715.9338,-0.0014594341685041081,0.9988355404228155,164351
alt_ols_log1p_structural_full,ai_answerability_structural,log_questions_p1,full,ols_log1p,post_sub,-0.5488583379909487,0.027429400274334097,-20.009855574732335,4.519560703441319e-89,164351
alt_ols_log1p_structural_full,ai_answerability_structural,log_questions_p1,full,ols_log1p,ai_post_sub,-0.10816670361682912,0.048074311787771544,-2.249989642999799,0.024449602772910743,164351
sub_ols_log1p_zscore_top50,ai_answerability_zscore,log_questions_p1,top50,ols_log1p,ai_post,-0.05284871290621742,0.0662295088164046,-0.7979632319593339,0.42489182727563835,85884
sub_ols_log1p_zscore_top50,ai_answerability_zscore,log_questions_p1,top50,ols_log1p,ai_sub,1784269086.5304563,,,,85884
sub_ols_log1p_zscore_top50,ai_answerability_zscore,log_questions_p1,top50,ols_log1p,post_sub,-0.5376868355568973,,,,85884
sub_ols_log1p_zscore_top50,ai_answerability_zscore,log_questions_p1,top50,ols_log1p,ai_post_sub,-0.20673198897879663,0.09310434097128875,-2.220433406456827,0.026389361472617192,85884
alt_ols_log1p_zscore_users,ai_answerability_zscore,log_unique_users_p1,full,ols_log1p,ai_post,-0.06934869471477154,0.04252675468281289,-1.6307074271716926,0.10295206866915312,164351
alt_ols_log1p_zscore_users,ai_answerability_zscore,log_unique_users_p1,full,ols_log1p,ai_sub,178362106.4867698,403592114290.66034,0.0004419365497273229,0.9996473856615962,164351
alt_ols_log1p_zscore_users,ai_answerability_zscore,log_unique_users_p1,full,ols_log1p,post_sub,-0.5277139207943206,0.02303235455382691,-22.91185295715409,3.53964398149686e-116,164351
alt_ols_log1p_zscore_users,ai_answerability_zscore,log_unique_users_p1,full,ols_log1p,ai_post_sub,-0.1328957420921535,0.05152096825942915,-2.5794496218116296,0.009895789139765548,164351
ppml_zscore_full,ai_answerability_zscore,questions,full,ppml,ai_post,-0.04240381572131295,0.02574234529653382,-1.6472398001367257,0.0995087661215297,164351
ppml_zscore_full,ai_answerability_zscore,questions,full,ppml,ai_sub,,,,,164351
ppml_zscore_full,ai_answerability_zscore,questions,full,ppml,post_sub,-0.31234232553171054,0.021887873506172165,-14.27010830648455,0.0,164351
ppml_zscore_full,ai_answerability_zscore,questions,full,ppml,ai_post_sub,-0.09838160260695322,0.04441167078181,-2.2152195779864257,0.026744996715607483,164351
