tag,post,pre,delta_pct,ai_answerability_zscore
keras,23.376146788990827,123.78289473684211,-81.115204294836,-0.2494523117460263
jquery,84.8440366972477,440.0394736842105,-80.71899414229937,-0.0491747361173036
ajax,24.953703703703702,123.73684210526316,-79.83324668777666,-0.7736792378103795
arrays,128.26605504587155,588.5394736842105,-78.20604041340911,0.7639486316081535
tensorflow,45.321100917431195,202.82236842105263,-77.6547817332721,-0.2658503222944539
list,61.30275229357798,273.7105263157895,-77.60307098205978,1.1652431331488442
dictionary,34.79816513761468,153.5328947368421,-77.33504263222594,0.9067890714994792
python-3.x,201.61467889908258,857.7631578947369,-76.49529744388668,0.7162969406516968
loops,40.403669724770644,167.1184210526316,-75.82332966630526,0.4070435815641886
mysql,129.88990825688074,530.046052631579,-75.49459945753736,-0.0119100537262328
android-studio,45.1651376146789,180.60526315789474,-74.99234694218568,-0.5617977138052218
string,55.24770642201835,220.81578947368422,-74.98018300516391,1.0622467500568022
for-loop,34.96330275229358,139.375,-74.91422224050686,0.5585224920647861
scala,28.045871559633028,108.1842105263158,-74.07581806698967,0.3439712611728827
pandas,234.54128440366972,889.0263157894736,-73.61818427215034,0.8646355847327883
regex,67.01834862385321,246.17105263157896,-72.77569888602893,0.9802304212256678
asp.net-mvc,29.009174311926607,103.01315789473684,-71.83935052105733,-0.528370258586997
vue.js,96.80733944954129,343.38157894736844,-71.80764916210623,0.0771994691424347
csv,38.648148148148145,136.57236842105263,-71.70134149757446,0.1258568790510962
php,274.54128440366975,967.046052631579,-71.61031952340088,-0.0530024053363186
django,157.45871559633028,551.5592105263158,-71.45207394033397,0.0903252949973694
function,53.22935779816514,183.10526315789474,-70.92964075409203,0.3977453793731797
javascript,1016.743119266055,3486.717105263158,-70.839529317383,0.9711433604039796
numpy,75.75229357798165,259.0394736842105,-70.75646715128457,0.5798751409036456
opencv,31.889908256880734,108.875,-70.70961354132655,-0.6557043932695598
json,141.25688073394497,474.14473684210526,-70.2080673351469,0.3716376883129775
xcode,40.65137614678899,135.73026315789474,-70.0498804017647,-0.5294282601927262
google-cloud-firestore,48.76851851851852,160.4671052631579,-69.6084013988159,0.1037382000785874
html,407.3211009174312,1328.3486842105262,-69.33628152313689,0.3266961594923233
ruby-on-rails,49.0,156.55921052631578,-68.70193721897718,0.0302708394790086
sql,267.8807339449541,852.8684210526316,-68.59061405810651,0.5878728743219979
rest,33.981651376146786,108.13157894736842,-68.57379527151186,-0.4859850437046596
ruby,35.94444444444444,114.17105263157895,-68.5170245732652,0.4603080231292742
mongodb,97.02752293577981,307.6118421052632,-68.45780634720249,-0.2094346087408063
laravel,138.44954128440367,438.79605263157896,-68.4478608104872,0.0331416656799929
firebase,111.01834862385321,350.24342105263156,-68.30251706364804,-0.1674886970496735
matplotlib,52.137614678899084,163.32236842105263,-68.0768683537053,0.1116362309922377
java,566.5137614678899,1773.25,-68.05223395077456,0.1368412137614545
node.js,304.25688073394497,943.1513157894736,-67.74039587918467,0.1064221564951898
dataframe,154.2018348623853,477.50657894736844,-67.70686694991448,0.8204713566166805
algorithm,46.56880733944954,142.1184210526316,-67.23239183595811,-0.3987629610195847
swift,157.58715596330276,475.0592105263158,-66.82789166665924,-0.0980974833831817
python,1629.7614678899083,4876.618421052632,-66.58009039923776,1.5155053868933794
express,69.02752293577981,203.77631578947367,-66.12583622961668,-0.1995481546892842
shell,35.65137614678899,104.53289473684211,-65.89458635337702,0.6831617194501317
.net-core,46.4954128440367,136.09868421052633,-65.8369857770891,-0.5595052448501922
xml,53.80733944954128,156.4671052631579,-65.61108524437508,-0.1510403945751972
database,67.60550458715596,195.59868421052633,-65.43662608977934,-0.2595165061759353
bash,70.19266055045871,202.7171052631579,-65.37408105776872,0.7559093071027364
sql-server,118.07339449541284,338.4013157894737,-65.10847062755846,-0.1225456436497122
tkinter,45.85321100917431,131.23026315789474,-65.05896589264303,0.0061753638332629
oracle-database,67.90825688073394,194.2171052631579,-65.03487332450946,0.231485258009526
angular,213.58715596330276,610.8486842105264,-65.03435932920978,0.1137624514570828
ios,148.52293577981652,424.4736842105263,-65.01009572453175,-0.5277913559594533
web-scraping,47.46788990825688,134.65131578947367,-64.74754841425198,0.1856082512533589
android,386.2477064220183,1094.796052631579,-64.71966577760409,-0.3060339294090371
apache-spark,52.22018348623853,148.0,-64.71609223902801,-0.2052355048131066
css,324.2201834862385,915.0657894736842,-64.56864771737129,0.2297476209187957
c++,322.2844036697248,906.125,-64.43267720571392,-0.0714908118943149
flask,46.30275229357798,128.7171052631579,-64.02750652377279,-0.1434386676834025
reactjs,576.5688073394496,1573.0197368421052,-63.346371705613016,0.2688228025830724
wordpress,78.78899082568807,213.57894736842104,-63.11013243745507,-0.6481104603555182
linux,93.68807339449542,252.20394736842104,-62.85225732108177,-0.1180082008799319
wpf,36.559633027522935,97.45394736842105,-62.48522095332826,-0.4180080180530354
kubernetes,69.26605504587155,184.59868421052633,-62.477492544379785,-0.3049108939888829
c,180.1559633027523,478.74342105263156,-62.368994459153825,-0.0753495881644568
react-native,145.09174311926606,384.125,-62.22798747301892,-0.3501349399494347
r,387.42201834862385,1013.7565789473684,-61.783526105359286,0.4619074058245282
multithreading,46.1651376146789,117.95394736842105,-60.86172727184342,-0.986497146415997
asp.net,60.28440366972477,153.77631578947367,-60.79734167109538,-0.7182458623252016
visual-studio,53.54128440366973,134.5921052631579,-60.2195951248519,-0.5607426113004864
machine-learning,44.0,110.53289473684211,-60.19284566394858,-0.2426460625359708
selenium,85.07407407407408,211.6184210526316,-59.798360818071075,0.0750129390583791
dart,145.77064220183487,361.05263157894734,-59.62620697033728,0.6326311000504187
git,79.1559633027523,189.39473684210526,-58.20582735161057,0.128001572530122
spring,115.9908256880734,274.6644736842105,-57.76999328226506,-0.645884877197608
google-apps-script,57.23853211009175,135.01973684210526,-57.607285091195514,-0.207885540963443
c#,588.1651376146789,1386.907894736842,-57.59162235309938,0.0248330661705128
vba,118.4770642201835,276.875,-57.20918673763124,-0.3456402924748631
amazon-web-services,162.67889908256882,378.07894736842104,-56.97224079391929,-0.4304247037345853
macos,52.6605504587156,121.35526315789474,-56.60629041675826,-0.5258186019565344
asp.net-core,102.1743119266055,231.17763157894737,-55.80268245298945,-0.3608945357200452
flutter,334.0,728.6513157894736,-54.161888853776354,0.3984571563997818
postgresql,162.3119266055046,346.38157894736844,-53.140716345609306,0.0090469414082173
excel,184.9816513761468,393.23026315789474,-52.95843969621671,-0.3160263050631642
google-sheets,76.19266055045871,159.41447368421052,-52.20467828950631,0.1840420193675504
powershell,103.20183486238533,215.80263157894737,-52.177675449415986,-0.0841930701551901
unity-game-engine,71.31192660550458,147.29605263157896,-51.58598935174999,-0.3706545569213798
docker,172.5137614678899,354.2828947368421,-51.30621206083589,-0.5660096240941873
ggplot2,63.018348623853214,128.42105263157896,-50.92833508798316,0.2112415808697754
google-cloud-platform,74.12844036697248,149.95394736842104,-50.56586260790673,-0.1833202297026911
windows,85.22018348623853,169.9934210526316,-49.86854023024012,-0.5546078527243149
kotlin,158.88073394495413,313.7368421052632,-49.358598474180035,0.0617847554616049
typescript,329.3119266055046,646.9342105263158,-49.09653543633261,0.401398994119196
spring-boot,201.38532110091742,384.88157894736844,-47.67603020864338,-0.6374092543835994
go,80.86238532110092,153.7565789473684,-47.4088290239727,0.3788353001228974
visual-studio-code,105.70642201834862,198.07236842105263,-46.63242386558279,-0.2264298241485701
swiftui,101.14678899082568,167.91447368421052,-39.76291217096147,-1.7749591079186724
azure,182.6605504587156,293.9605263157895,-37.86221818691023,-0.2501872760217949
.net,156.8440366972477,237.38815789473685,-33.929291971339275,-0.5701966552086524
