ai_mean,dlog_mean,dlog_se,n_tags
-0.9818171495479622,-1.0261176042820368,0.17634116980392997,5
-0.613522174247913,-0.7241377024983517,0.09785001094605317,5
-0.5532163365745884,-1.042753618311335,0.11705894536500995,5
-0.49967799278844593,-1.018117360654059,0.08216372003322997,5
-0.3796910023326959,-0.9127583440189895,0.06693117715427298,5
-0.3076923486460802,-1.0176910162935648,0.12630124900761835,5
-0.24564639612565947,-0.9381517069612574,0.20142776205806703,5
-0.20108480778186624,-0.9590805859873079,0.08178011313911102,5
-0.14050432076758346,-1.0476094297799996,0.027137126661544726,5
-0.07642667178669242,-1.0188157355298009,0.08574768706620554,5
-0.0042058836863086806,-1.1372455532710124,0.1663606953474481,5
0.05548193376428404,-1.0273473728466023,0.10498220138172659,5
0.10517686680409341,-1.1463664490412306,0.03301719437673874,5
0.15206998719271642,-1.001948380226736,0.09227415682546482,5
0.25359868437469857,-0.9927548513835939,0.07840098603078424,5
0.3781293570763438,-1.03353608748161,0.13643527732907038,5
0.4578360993403946,-1.106836791261899,0.13447415471498483,5
0.6399675550755781,-1.1560873396969338,0.08969907628689566,5
0.8223507903119677,-1.2973260440841146,0.09128391940757137,5
1.1388738103457345,-1.2946734556123303,0.06532374773156556,5
